,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
691,https://www.transfermarkt.com/branislav-ivanovic/profil/spieler/36827,Branislav Ivanovic,22/02/1984,Sremska Mitrovica,Jugoslawien (SFR),['Serbia'],185,right,Star Management Signings Ltd.,,Right-Back,['Centre-Back'],['FK Remont Cacak'],#N/A
692,https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,César Azpilicueta,28/08/1989,Pamplona,Spain,['Spain'],178,right,Relatives,adidas,Right-Back,"['Left-Back', 'Centre-Back']",['CA Osasuna (2001-2006)'],#N/A
693,https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832,Paulo Ferreira,18/01/1979,Cascais,Portugal,['Portugal'],183,right,Gestifute,,Right-Back,"['Left-Back', 'Right Midfield']",,#N/A
694,https://www.transfermarkt.com/mikel-john-obi/profil/spieler/30739,Mikel John Obi,22/04/1987,Jos,Nigeria,"['Nigeria', 'England']",188,right,,,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']","['Pepsi Football Academy', ' Plateau United']",#N/A
695,https://www.transfermarkt.com/oriol-romeu/profil/spieler/66100,Oriol Romeu,24/09/1991,Ulldecona,Spain,['Spain'],183,right,MagicPlayers,,Defensive Midfield,['Central Midfield'],"['CF Ulldecona (1996-2001)', '\r\nRCD Espanyol (2001–2004)', '\r\nFC Barcelona (2004-2009)']",#N/A
696,https://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900,Nathaniel Chalobah,12/12/1994,Freetown,Sierra Leone,"['England', 'Sierra Leone']",185,right,CAA Base Ltd,,Defensive Midfield,"['Central Midfield', 'Centre-Back']","['Fulham FC (2004-2005)', ' Chelsea FC (2005-2012)']",#N/A
697,https://www.transfermarkt.com/ramires/profil/spieler/54170,Ramires,24/03/1987,Barra do Piraí,Brazil,['Brazil'],179,right,,,Central Midfield,"['Right Midfield', 'Defensive Midfield']","['Royal Sport Club (2004–2005)', ' Joinville Esporte Clube (2005–2006)']",#N/A
698,https://www.transfermarkt.com/raul-meireles/profil/spieler/13168,Raúl Meireles,17/03/1983,Porto,Portugal,['Portugal'],179,both,,Nike,Central Midfield,['Defensive Midfield'],['Boavista FC (1990-1996);\r\nUEFA: Boavista FC;'],#N/A
699,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,Josh McEachran,01/03/1993,Oxford,England,"['England', 'Scotland']",178,left,Refuel Performance Management,,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",['Chelsea FC (2001-2009)'],#N/A
700,https://www.transfermarkt.com/frank-lampard/profil/spieler/3163,Frank Lampard,20/06/1978,London,England,['England'],184,right,,,Central Midfield,['Attacking Midfield'],,#N/A
