,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
736,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725,Filipe Luís,"Aug 9, 1985",['Jaraguá do Sul'],['Brazil'],"['Brazil', 'Poland']","1,82",left,Manuel García Quilón,,Left-Back,['Centre-Back'],
737,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,Ruben Loftus-Cheek,"Jan 23, 1996",['London'],['England'],"['England', 'Guyana']","1,91",right,CAA Stellar,adidas,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",['Chelsea FC (2004-2014)']
738,https://www.transfermarkt.com/jeremie-boga/profil/spieler/216569,Jérémie Boga,"Jan 3, 1997",['Marseille'],['France'],"[""Cote d'Ivoire"", 'France']","1,74",right,LIAN Sports Group,,Left Winger,"['Attacking Midfield', 'Second Striker']","['ASPTT Marseille (2003–2009)', ' Chelsea FC (2009-2014)']"
739,https://www.transfermarkt.com/izzy-brown/profil/spieler/245805,Izzy Brown,"Jan 7, 1997",['Peterborough'],['England'],"['England', 'Jamaica']","1,82",right,,Nike,Second Striker,"['Left Winger', 'Right Winger']",
740,https://www.transfermarkt.com/diego-costa/profil/spieler/44779,Diego Costa,"Oct 7, 1988",['Lagarto'],['Brazil'],"['Spain', 'Brazil']","1,86",right,A10 PRO,adidas,Centre-Forward,,
741,https://www.transfermarkt.com/loic-remy/profil/spieler/45121,Loïc Rémy,"Jan 2, 1987",['Rillieux-la-Pape'],['France'],"['France', 'Martinique']","1,85",right,Relatives,,Centre-Forward,"['Right Winger', 'Left Winger']","['ASPTT Lyon (1993-1999)', ' Olympique Lyonnais (1999-2004)']"
742,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924,Didier Drogba,"Mar 11, 1978",['Abidjan'],"[""Cote d'Ivoire""]","[""Cote d'Ivoire"", 'France']","1,89",both,,Nike,Centre-Forward,,"['USL Dunkerque (1986-1991)', ' Olympique Vannes (1991-1993)', ' Levallois SC (1993-1997)', ' Le Mans UC 72 (1997-1998)']"
743,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,Dominic Solanke,"Sep 14, 1997",['Basingstoke'],['England'],"['England', 'Nigeria']","1,86",right,Relatives,adidas,Centre-Forward,,['Chelsea FC (2004-2014)']
744,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,Asmir Begovic,"Jun 20, 1987",['Trebinje'],['Jugoslawien (SFR)'],"['Bosnia-Herzegovina', 'Canada']","1,99",right,Mondial,AB1,Goalkeeper,,"['FC Kirchhausen (1994–1997)', ' \r\nSouthwest Sting Edmonton SC (1998–2003)', ' \r\nFC Portsmouth (2003–2005)']"
745,https://www.transfermarkt.com/marco-amelia/profil/spieler/16810,Marco Amelia,"Apr 2, 1982",['Frascati'],['Italy'],['Italy'],"1,90",right,,,Goalkeeper,,"['Lupa Frascati', ' Roma']"
746,https://www.transfermarkt.com/papy-djilobodji/profil/spieler/136610,Papy Djilobodji,"Dec 1, 1988",['Kaolack'],['Senegal'],['Senegal'],"1,93",left,Pro-Onesports Intermediaries,,Centre-Back,['Defensive Midfield'],['ASC Saloum']
747,https://www.transfermarkt.com/michael-hector/profil/spieler/157490,Michael Hector,"Jul 19, 1992",['London'],['England'],"['Jamaica', 'England']","1,93",right,Relatives,,Centre-Back,['Defensive Midfield'],"['Millwall FC', ' Thurrock FC']"
748,https://www.transfermarkt.com/matt-miazga/profil/spieler/245893,Matt Miazga,"Jul 19, 1995","['Clifton, New Jersey']",['United States'],"['United States', 'Poland']","1,93",right,Promoesport,adidas,Centre-Back,,['New York Red Bulls (2009-2013)']
749,https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254,Fikayo Tomori,"Dec 19, 1997","['Calgary, Alberta']",['Canada'],"['England', 'Canada']","1,85",right,SPORT INVEST,adidas,Centre-Back,,['Chelsea FC (2005-2017)']
750,https://www.transfermarkt.com/jake-clarke-salter/profil/spieler/316551,Jake Clarke-Salter,"Sep 22, 1997",['Carshalton'],['England'],['England'],"1,88",left,New Era Global Sports,,Centre-Back,,
751,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,Abdul-Rahman Baba,"Jul 2, 1994",['Tamale'],['Ghana'],['Ghana'],"1,79",left,SPOCS Global Sports,Nike,Left-Back,['Left Midfield'],"['Young Meteors Tamale (2004-2010)', ' Dreams FC (2010-2011)']"
752,https://www.transfermarkt.com/ola-aina/profil/spieler/236490,Ola Aina,"Oct 8, 1996",['London'],['England'],"['Nigeria', 'England']","1,84",right,Elite Project Group Ltd,adidas,Right-Back,"['Left-Back', 'Left Midfield']",['Chelsea FC (2007-2016)']
753,https://www.transfermarkt.com/charlie-colkett/profil/spieler/236496,Charlie Colkett,"Sep 4, 1996",['London'],['England'],['England'],"1,76",left,GS Magna,,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']","['Charlton Athletic', ' Chelsea FC (2007–2014)']"
